cart_dwell_time_seconds,cart_pdp_bounce_count,reviews_expanded_count,idle_time_before_checkout,delivery_pincode_checked,cart_value_to_aov_ratio,delivery_fee_percentage,est_delivery_days,has_price_dropped_recently,hist_abandonment_rate,discount_sensitivity_score,past_return_rate,wishlist_item_count,payment_method_saved,is_abandoned
125.43,2,4,112.06,1,2.1639,0.0,4,1,0.5341,0.6751,0.2029,1,0,0
356.07,3,3,50.2,0,0.9421,0.0,3,1,0.5804,0.5878,0.1538,0,0,0
84.39,1,0,10.44,0,0.6853,6.0779,1,0,0.0924,0.4327,0.2025,0,0,0
229.84,6,5,46.14,0,1.5883,1.7399,3,1,0.3086,0.6036,0.2099,2,0,1
212.48,2,2,8.43,0,0.9876,10.9863,5,0,0.2755,0.3892,0.0995,1,0,0
212.97,5,2,132.41,1,1.0552,0.0,2,1,0.6343,0.3857,0.0898,0,1,0
294.11,6,4,89.68,2,0.627,0.0,4,0,0.4825,0.544,0.1052,1,1,1
197.19,2,0,194.81,1,0.9992,2.3559,4,0,0.5091,0.5505,0.2,0,0,1
61.35,0,1,29.23,1,0.8438,0.0,3,0,0.4077,0.1941,0.1094,0,0,0
600.0,5,4,83.41,3,0.6346,5.2495,9,0,0.5885,0.6033,0.1003,3,0,1
330.69,2,0,137.25,0,0.5309,0.0,4,1,0.4319,0.8307,0.2734,3,1,0
438.09,6,5,101.2,1,0.7332,0.0,3,0,0.2704,0.3817,0.161,1,1,1
302.65,4,3,202.24,1,2.0643,13.1256,2,0,0.3937,0.687,0.1328,1,1,1
528.72,5,2,98.01,0,0.6469,0.0,3,0,0.4926,0.3058,0.0962,1,1,0
151.47,1,2,52.31,0,0.9129,4.3768,2,1,0.4844,0.3289,0.1569,0,0,1
213.69,1,1,111.43,0,0.9264,0.0,3,1,0.5064,0.3814,0.0158,0,1,0
148.72,2,1,58.29,2,1.5054,8.8504,6,0,0.5111,0.358,0.0535,1,0,0
103.55,0,1,77.17,3,0.962,0.0,8,1,0.6399,0.72,0.042,1,0,1
389.59,4,4,150.67,0,2.2274,0.0,3,0,0.1624,0.9119,0.1545,0,1,1
361.87,3,4,34.09,0,1.3636,6.9947,1,1,0.4224,0.311,0.234,0,0,1
109.78,2,2,75.97,0,1.0111,0.0,3,1,0.4347,0.415,0.1503,0,0,0
251.09,1,1,139.47,2,0.9938,0.0,4,0,0.5077,0.6555,0.1508,4,0,0
389.59,5,6,39.87,2,0.7662,5.6959,3,0,0.4087,0.3626,0.2247,3,0,1
150.67,4,3,64.08,2,0.9036,0.0,6,0,0.2946,0.4529,0.0275,0,0,1
179.0,2,2,132.16,1,1.1197,0.0,8,0,0.2484,0.4769,0.1582,2,0,1
256.43,3,4,100.27,0,1.4531,9.5892,1,1,0.2733,0.5759,0.1764,2,1,0
89.26,1,6,82.03,0,0.9413,9.3064,3,0,0.1652,0.5458,0.2641,1,1,0
430.91,1,3,82.16,1,0.7108,9.0823,4,0,0.3083,0.4626,0.2343,3,0,0
125.1,3,3,12.31,0,2.8129,0.0,7,0,0.4726,0.752,0.1219,0,1,1
173.75,3,2,191.9,1,1.166,0.0,2,0,0.5535,0.1505,0.0802,2,1,0
333.12,4,4,39.16,0,1.1038,0.0,1,0,0.7895,0.3559,0.0526,0,0,1
291.29,4,2,164.97,0,2.1034,9.0945,5,0,0.0981,0.3274,0.0691,0,0,1
272.26,6,2,163.26,2,1.6024,0.0,4,0,0.4615,0.4742,0.2469,1,0,1
136.5,1,1,37.91,1,0.8637,10.1622,4,1,0.8838,0.7214,0.04,0,0,0
110.94,1,2,133.8,2,2.2445,0.0,5,1,0.5702,0.7171,0.1466,0,0,1
203.78,2,2,169.41,2,1.2266,8.3188,4,0,0.7164,0.4902,0.0457,1,1,1
234.0,3,3,40.39,1,1.0764,0.0,2,0,0.5267,0.5534,0.3186,5,0,1
176.34,2,4,70.1,1,1.0689,0.0,3,1,0.2386,0.2003,0.0373,0,0,1
134.53,2,1,174.07,1,0.9198,5.4907,4,0,0.7894,0.6273,0.05,1,0,0
232.78,4,1,206.41,1,2.1222,0.0,7,0,0.6142,0.5543,0.1561,0,1,1
97.73,1,2,174.99,2,1.0227,0.0,6,0,0.524,0.4197,0.0866,2,1,0
289.88,6,2,132.62,2,1.6505,0.0,3,1,0.3236,0.5684,0.1866,2,0,0
536.83,3,4,68.73,1,1.0837,0.0,1,1,0.431,0.312,0.052,2,1,0
477.0,5,1,223.28,3,0.8819,0.0,2,0,0.1932,0.6932,0.074,1,0,1
154.0,2,1,85.36,2,1.0274,0.0,8,0,0.1976,0.4804,0.123,1,0,1
341.05,5,0,135.64,1,1.9969,0.0,4,1,0.4598,0.7172,0.058,1,0,1
312.65,4,3,210.82,1,1.4519,0.0,7,0,0.2574,0.6404,0.0553,5,0,1
250.27,0,4,95.34,1,1.2613,10.0212,2,1,0.4548,0.5841,0.105,3,0,0
184.84,2,4,188.92,0,1.2257,0.0,1,0,0.3255,0.3225,0.226,1,0,1
335.12,5,3,71.96,2,2.0255,0.0,3,0,0.7749,0.6113,0.154,2,0,1
278.49,2,3,1.29,0,0.941,0.0,3,0,0.2845,0.1549,0.038,0,0,0
278.98,4,6,150.38,5,0.9501,0.0,7,0,0.663,0.4825,0.3563,0,1,1
382.6,3,1,63.87,1,1.4721,0.0,3,0,0.5645,0.5052,0.1757,0,0,1
174.74,2,3,40.25,2,0.9407,0.0,5,1,0.8366,0.4194,0.1741,2,0,0
531.18,5,4,95.05,0,0.9417,0.0,2,1,0.7215,0.4553,0.0588,1,0,1
380.67,1,2,88.1,4,0.7472,6.9482,10,1,0.7348,0.6176,0.0643,0,0,0
169.8,2,7,168.21,2,1.0739,0.0,5,0,0.3388,0.5169,0.2211,3,1,0
373.84,4,1,4.03,0,1.441,0.0,4,0,0.5853,0.6334,0.0213,0,0,0
256.41,1,2,83.72,1,1.6183,1.9797,3,1,0.2049,0.571,0.1533,2,0,0
201.44,3,3,105.59,1,0.8537,11.3882,6,0,0.6495,0.2712,0.1113,1,0,1
415.4,2,0,112.32,2,0.9893,8.2547,2,0,0.5319,0.3251,0.0243,3,1,0
430.77,2,3,164.2,0,1.9233,0.0,3,0,0.4714,0.613,0.0878,3,0,1
184.7,2,2,139.55,3,1.8028,2.9667,5,0,0.5185,0.5955,0.1127,1,1,0
268.58,3,5,104.29,1,0.8402,0.0,1,1,0.6562,0.3324,0.2122,1,1,1
264.32,4,7,197.84,0,1.6811,14.3593,3,0,0.5067,0.4955,0.0869,4,0,1
221.22,5,3,111.33,0,1.578,8.1649,3,1,0.8171,0.8206,0.0961,2,0,0
151.01,3,1,126.99,1,1.4147,4.483,3,1,0.2154,0.4194,0.0424,2,1,0
52.33,1,0,22.57,0,0.7995,11.9785,7,0,0.3697,0.5219,0.1586,1,1,0
470.09,6,4,150.38,1,1.0445,0.0,5,0,0.5529,0.5314,0.2049,3,0,1
386.71,2,1,95.69,1,1.7411,5.0102,5,1,0.0674,0.7507,0.259,1,0,1
447.9,5,1,156.18,1,0.7859,0.0,2,1,0.8676,0.4267,0.2814,1,1,0
190.4,0,3,135.42,2,0.8418,0.0,8,0,0.7322,0.4308,0.1147,1,0,0
215.53,3,1,27.0,0,0.7678,0.0,3,0,0.3839,0.2999,0.0685,0,1,0
161.41,0,3,90.93,0,1.1143,0.0,5,0,0.7291,0.4115,0.2528,1,0,1
246.05,6,6,130.61,0,1.0846,0.0,4,1,0.3335,0.4505,0.1798,1,0,1
157.8,1,1,21.07,0,1.8604,3.182,2,0,0.5948,0.3933,0.2115,3,0,0
161.08,2,3,64.61,0,1.653,9.1556,4,0,0.2437,0.5466,0.0574,2,1,0
205.87,5,0,185.91,0,1.8316,0.0,2,0,0.3819,0.6027,0.0878,0,0,0
91.64,0,2,51.63,1,1.2119,0.0,3,1,0.5027,0.6822,0.2533,1,1,0
215.72,2,1,170.43,2,1.6892,8.9109,5,0,0.7245,0.6136,0.2888,0,0,1
410.16,2,1,87.16,1,0.5499,11.4774,3,0,0.2623,0.4089,0.0845,2,1,1
317.51,1,0,51.83,1,1.8899,2.4454,5,0,0.7989,0.8794,0.315,0,1,1
220.75,1,1,129.83,0,0.8155,0.0,9,0,0.4434,0.2107,0.082,4,0,0
551.92,0,3,26.5,0,1.7116,0.0,4,0,0.8156,0.7001,0.0469,2,0,1
207.39,1,1,193.24,0,1.9251,0.0,3,0,0.3225,0.3513,0.0383,0,1,0
237.66,5,2,116.81,2,1.5036,0.0,5,0,0.3064,0.6126,0.1079,3,0,1
557.46,5,2,162.03,0,1.8875,8.6836,8,0,0.5024,0.6954,0.117,2,1,1
127.96,3,1,92.36,1,1.0379,0.0,2,0,0.6294,0.2502,0.1094,1,0,1
348.27,2,6,32.69,2,1.4799,0.0,5,0,0.5799,0.3847,0.0849,2,1,1
224.22,1,0,51.77,1,0.9553,4.8373,8,0,0.324,0.3825,0.1419,0,0,0
444.72,5,2,62.62,0,1.6656,0.0,2,1,0.8327,0.5817,0.1606,0,0,1
269.4,3,1,43.69,0,1.2747,0.0,2,0,0.4779,0.4562,0.0529,1,0,0
257.63,2,4,170.89,1,0.7282,0.9742,4,0,0.1894,0.2639,0.1111,3,1,0
482.06,3,1,178.84,1,0.9332,0.0,6,0,0.3983,0.3883,0.1397,1,1,0
179.26,1,3,30.47,0,1.4472,5.3473,2,0,0.4181,0.4504,0.083,1,1,0
248.23,1,2,153.97,0,0.4811,3.3695,5,0,0.1083,0.1781,0.2466,0,1,0
476.11,2,3,69.72,2,1.2258,0.0,4,0,0.4405,0.575,0.0621,0,0,1
284.93,3,4,199.82,1,1.4268,6.6012,4,0,0.7739,0.4737,0.0428,1,0,1
332.04,1,0,17.96,2,1.4586,0.0,9,0,0.3585,0.1817,0.052,2,1,0
89.65,3,1,22.22,2,0.6561,0.0,4,1,0.2436,0.3963,0.0201,1,1,0
346.1,6,5,116.53,1,0.5512,4.4797,3,0,0.4499,0.5157,0.2539,1,1,1
107.47,2,2,115.53,1,0.9202,4.5915,4,0,0.7261,0.2432,0.1067,2,1,0
214.96,2,2,61.2,3,1.4972,0.0,6,0,0.3418,0.4675,0.1478,2,0,1
181.02,1,1,100.71,0,0.471,0.8804,7,0,0.3773,0.3732,0.1823,2,0,0
314.1,2,1,112.02,0,0.6221,5.2023,3,0,0.6456,0.5024,0.0616,1,1,0
73.95,1,5,36.15,3,0.6111,0.0,6,1,0.4481,0.3663,0.2149,3,1,0
348.59,5,5,130.69,4,1.4626,0.0,2,1,0.5298,0.351,0.164,0,1,0
300.02,3,4,65.22,2,0.7257,4.3376,6,0,0.9376,0.3336,0.0693,0,0,1
326.11,3,0,58.0,1,1.4421,0.0,7,0,0.7207,0.4845,0.0922,1,0,1
376.65,6,0,178.65,0,1.8451,0.0,6,0,0.3213,0.5682,0.2285,1,1,1
243.6,1,4,44.22,3,0.8758,5.8346,5,0,0.6436,0.5436,0.1225,1,0,0
121.69,1,3,41.42,1,1.0534,0.0,4,0,0.8852,0.414,0.0502,0,1,0
218.84,4,4,49.81,1,1.2564,0.0,4,0,0.4229,0.5864,0.1526,1,1,0
254.4,3,1,99.69,1,1.0045,0.0,7,1,0.6252,0.6003,0.075,3,0,1
235.25,2,3,12.72,0,1.732,0.0,3,0,0.1923,0.4151,0.2209,2,1,0
191.29,4,4,33.5,1,1.0692,7.9339,5,1,0.2587,0.7757,0.2192,2,1,1
324.82,1,0,34.29,1,1.7138,0.0,3,1,0.5839,0.6128,0.1941,0,1,1
193.43,0,1,135.91,1,0.7784,2.126,2,0,0.4034,0.2775,0.0443,2,0,0
133.95,1,2,171.33,3,1.2701,0.0,7,1,0.7636,0.7315,0.3431,0,0,1
364.68,3,4,190.46,2,2.5221,0.0,5,0,0.1713,0.64,0.2763,1,0,0
244.98,5,5,150.86,2,1.4977,7.6736,8,0,0.5706,0.5043,0.0714,0,1,1
249.92,3,3,96.87,2,0.8542,10.1815,3,1,0.6046,0.785,0.1377,2,1,0
137.75,4,2,36.81,1,1.5749,0.0,5,1,0.3084,0.5376,0.0148,0,0,1
109.29,3,4,128.82,0,3.3391,9.4091,1,1,0.3676,0.3946,0.0336,0,1,1
303.72,7,2,87.01,0,1.0146,0.0,4,1,0.3204,0.2164,0.1936,1,1,1
159.28,2,3,128.75,2,0.8918,0.0,6,0,0.5253,0.5716,0.0322,1,1,0
327.91,3,3,79.35,2,1.415,0.0,2,0,0.5877,0.4036,0.0655,1,0,0
144.93,2,2,26.73,0,2.1287,0.0,9,1,0.04,0.7009,0.0546,1,1,0
188.76,1,4,9.75,2,1.4171,0.0,2,0,0.3111,0.7009,0.2786,1,1,0
411.28,6,2,122.15,1,0.9417,0.0,7,0,0.5313,0.3756,0.0465,4,0,1
309.75,5,4,79.19,0,1.0395,6.1495,2,0,0.2714,0.39,0.0137,1,1,1
140.02,3,2,128.51,1,1.4955,7.1913,10,0,0.2477,0.4127,0.0235,1,0,1
250.97,4,2,18.05,2,2.0148,8.0883,7,1,0.4988,0.5488,0.1319,1,1,1
300.29,3,7,93.71,0,0.4803,0.0,5,0,0.4679,0.5803,0.0925,5,0,1
374.23,4,4,58.84,0,1.9775,0.0,4,0,0.8341,0.4288,0.2517,2,0,1
454.01,6,3,133.13,2,0.7752,0.0,3,0,0.5418,0.3326,0.1452,3,0,1
315.7,2,1,29.63,0,1.7601,0.0,1,0,0.3525,0.5359,0.068,1,1,0
328.34,2,3,125.54,1,1.2131,0.0,4,0,0.7841,0.4302,0.0405,2,0,0
149.85,1,2,145.53,1,1.7978,0.0,9,0,0.2542,0.5083,0.0307,0,0,0
165.66,2,1,51.46,1,1.1049,0.0,3,1,0.8021,0.4504,0.1712,0,1,0
279.35,4,5,48.85,1,2.4488,0.0,6,1,0.5559,0.5251,0.1862,5,1,1
241.96,1,1,28.02,2,1.2371,0.0,6,1,0.13,0.5379,0.1176,1,1,1
132.68,0,3,131.7,0,0.8386,0.0,3,0,0.2172,0.2603,0.0311,0,1,0
182.48,5,3,112.02,2,0.98,8.156,5,0,0.6583,0.2015,0.2021,0,0,1
258.97,5,2,91.73,1,1.7118,0.0,3,0,0.53,0.7244,0.0526,2,0,1
217.08,3,2,135.15,0,1.6508,0.0,2,0,0.4039,0.5618,0.135,1,1,0
200.86,0,2,99.31,3,2.321,0.0,3,0,0.4436,0.6085,0.0791,2,0,1
409.53,3,3,71.35,0,1.797,0.0,3,0,0.7874,0.3406,0.1063,2,0,1
243.6,1,2,128.43,3,1.6103,0.0,5,0,0.8758,0.6594,0.1865,2,0,1
440.67,7,2,132.19,1,1.5884,0.0,2,0,0.3291,0.5682,0.1489,3,0,1
345.73,6,4,195.63,0,0.9436,10.6442,10,0,0.8575,0.4448,0.2553,3,0,1
355.67,7,1,123.02,0,0.801,0.0,1,0,0.6451,0.4824,0.1134,0,0,1
463.35,4,0,57.51,1,0.7003,0.0,2,0,0.3615,0.6925,0.1388,1,0,1
139.79,2,2,2.84,1,0.9697,0.0,1,0,0.2828,0.6594,0.2138,0,1,0
222.13,1,4,150.93,1,0.725,0.0,4,0,0.3504,0.2132,0.0579,3,0,0
317.24,2,2,114.0,0,1.1523,0.0,2,0,0.3713,0.4225,0.3039,1,0,1
76.25,1,1,2.24,0,1.2773,0.0,2,0,0.4402,0.7055,0.0919,2,1,0
351.2,4,2,112.83,1,0.7972,10.7925,7,0,0.4907,0.4026,0.0261,1,0,1
442.98,3,2,128.77,2,1.2536,0.0,7,0,0.7422,0.4565,0.0281,3,0,1
406.81,3,4,21.83,2,0.8911,0.0,5,0,0.5775,0.7365,0.3381,4,0,0
135.38,3,1,64.4,0,0.7281,0.0,4,0,0.1895,0.5539,0.0335,3,1,0
289.75,0,1,103.01,2,1.157,0.0,3,0,0.1932,0.4362,0.1374,1,0,0
258.25,2,1,15.51,1,4.0,0.0,4,1,0.8314,0.3286,0.1404,1,1,1
106.84,2,1,75.98,0,1.1993,3.7835,3,1,0.3538,0.6885,0.2377,0,1,1
291.97,3,2,169.68,1,0.9085,0.0,5,1,0.3064,0.1824,0.1792,1,0,1
279.58,6,2,100.93,0,1.6069,6.1503,3,1,0.4493,0.7047,0.1711,0,0,1
48.06,1,1,121.02,0,1.7773,5.755,5,1,0.8946,0.8469,0.0378,1,1,0
140.53,1,4,195.25,1,1.7502,0.0,4,1,0.6449,0.3597,0.0595,0,1,1
195.41,2,0,67.01,1,1.0729,0.0,3,0,0.1772,0.3667,0.2312,0,0,1
233.47,0,1,94.98,1,0.8766,2.2799,6,1,0.5288,0.2868,0.1126,1,0,1
159.18,1,2,71.78,1,0.7117,0.0,5,0,0.8337,0.2942,0.1433,1,0,0
253.77,3,2,89.04,3,0.4219,12.0765,3,0,0.2153,0.2411,0.0162,1,0,0
363.4,2,6,128.97,1,1.2326,11.926,3,0,0.4542,0.8268,0.0952,3,0,1
171.69,2,4,32.49,0,1.7592,0.0,6,0,0.3038,0.5954,0.1773,1,0,0
152.26,1,1,90.42,1,1.7019,0.0,9,0,0.2775,0.5426,0.0332,0,0,1
170.24,3,2,90.89,0,1.1592,0.0,3,0,0.4726,0.6141,0.1811,1,0,1
238.89,5,3,80.88,1,0.9029,1.4495,3,1,0.6204,0.3648,0.2547,3,0,1
528.69,8,2,174.12,2,0.8371,7.0649,5,0,0.7202,0.3801,0.0508,0,0,1
209.18,3,1,6.9,2,1.8176,0.0,6,0,0.5435,0.5884,0.0711,1,0,0
399.5,1,4,81.93,2,0.8089,0.0,3,0,0.6401,0.4371,0.0682,4,0,1
299.65,1,1,27.67,0,1.5045,11.4538,3,0,0.688,0.2105,0.1141,1,1,1
215.05,5,4,147.27,1,0.8396,6.9307,3,0,0.9146,0.5577,0.2252,3,0,1
242.59,6,1,57.16,1,2.3876,10.2525,8,0,0.3664,0.4232,0.0118,0,1,1
180.15,2,3,86.53,1,0.7431,6.4935,5,0,0.2865,0.2173,0.0637,1,1,0
321.09,2,1,2.81,1,1.0777,0.0,5,0,0.4186,0.4398,0.0878,2,0,1
245.9,1,1,25.84,2,1.4361,0.0,7,0,0.3495,0.8147,0.2381,1,1,1
600.0,3,1,137.06,2,0.8428,8.1332,8,0,0.5798,0.44,0.1189,4,1,1
197.67,3,3,142.91,1,2.0914,0.0,6,0,0.6387,0.7039,0.0942,0,1,1
102.76,2,5,224.36,0,1.4691,0.0,3,1,0.6144,0.8566,0.0477,3,1,0
329.95,4,3,139.01,0,1.1606,0.0,1,0,0.3818,0.4798,0.0312,1,0,0
521.5,0,1,161.04,1,0.9512,8.6511,3,1,0.522,0.326,0.0323,0,1,0
258.83,1,2,168.48,1,1.4792,6.5296,4,1,0.6598,0.548,0.2717,1,1,1
200.35,0,0,47.84,1,1.7932,0.0,6,0,0.469,0.2424,0.0717,0,1,1
212.74,5,2,25.55,1,1.102,7.769,9,0,0.7829,0.8401,0.2602,1,0,1
233.11,2,2,82.85,0,2.2379,0.0,3,0,0.3821,0.6158,0.0925,0,0,1
282.4,4,5,156.77,2,1.033,10.0828,4,0,0.3735,0.711,0.0773,4,1,1
258.98,1,1,213.26,2,1.8651,0.0,6,0,0.7302,0.7886,0.1567,1,0,1
39.71,0,1,49.57,1,0.8445,0.0,6,0,0.4512,0.3903,0.0211,0,0,1
188.74,2,1,122.55,1,0.7741,0.0,7,1,0.3955,0.6236,0.2364,2,0,0
177.23,4,2,162.55,2,1.0625,0.0,3,1,0.2609,0.4905,0.0746,0,0,0
311.95,2,3,122.04,1,1.0669,0.0,3,1,0.315,0.8341,0.1999,3,1,0
191.74,1,1,200.35,0,1.1932,2.3736,3,0,0.8417,0.3885,0.1579,1,0,0
10.0,0,5,63.81,0,1.2587,7.1027,6,1,0.351,0.66,0.1001,3,0,0
422.57,2,2,89.71,0,1.9629,0.0,4,0,0.4422,0.5766,0.061,1,1,1
102.02,1,1,99.67,2,1.0998,3.9709,6,0,0.353,0.52,0.1837,0,1,1
232.51,1,2,217.46,2,1.1498,9.0689,4,0,0.4631,0.5517,0.1216,1,1,1
311.8,2,3,85.52,1,0.9051,1.7824,3,1,0.4946,0.363,0.1421,1,1,0
494.24,1,0,37.27,1,0.9863,0.0,6,0,0.4003,0.8206,0.0358,1,0,1
189.51,2,3,32.82,2,0.8973,3.2139,8,0,0.6093,0.2833,0.39,0,0,1
311.0,1,1,165.87,1,1.0817,5.9004,4,1,0.4795,0.7271,0.1226,1,0,1
600.0,3,2,117.84,0,0.8904,0.0,7,1,0.6312,0.2789,0.2172,0,0,1
265.32,1,3,99.54,0,0.8996,3.5367,3,0,0.328,0.1519,0.214,3,1,0
116.94,1,2,59.76,0,0.4525,0.0,2,0,0.0769,0.2802,0.1243,2,1,0
600.0,4,3,154.08,0,1.6666,7.6555,6,1,0.4826,0.3429,0.1241,2,1,1
280.09,2,1,101.49,0,2.0833,0.0,3,0,0.814,0.4885,0.0341,2,0,1
194.34,5,4,123.09,0,1.7793,0.0,4,1,0.5863,0.7087,0.1539,3,0,1
339.27,4,2,47.61,0,0.9144,0.0,4,0,0.7087,0.6164,0.0465,1,0,1
238.66,7,4,86.38,1,2.7465,9.9941,3,0,0.6852,0.6391,0.2607,2,1,1
295.52,0,3,67.84,2,0.7253,5.2824,8,0,0.3345,0.1137,0.2514,1,1,0
490.32,5,2,211.78,0,1.7565,5.1796,7,1,0.32,0.3163,0.2205,1,1,1
134.39,1,2,37.89,0,0.61,0.0,2,0,0.7843,0.4401,0.0319,3,0,0
459.05,3,1,88.68,1,0.9944,0.0,4,1,0.4348,0.6617,0.0457,3,1,0
404.2,3,0,178.57,2,1.3466,0.0,5,0,0.4393,0.4303,0.0928,0,1,1
280.04,2,5,119.49,0,0.8141,0.0,2,1,0.6015,0.3231,0.0999,0,1,0
273.45,2,1,125.01,2,0.7096,6.4657,8,0,0.4581,0.5259,0.0727,1,0,0
394.86,6,5,127.87,0,0.9439,7.2394,2,0,0.7721,0.2071,0.0723,2,0,1
148.37,4,3,85.9,2,1.2556,0.0,1,0,0.4447,0.646,0.1449,1,1,1
178.57,2,4,65.07,0,1.1768,0.0,4,0,0.7218,0.6741,0.0363,0,0,1
422.87,5,1,93.63,2,0.9431,0.0,6,1,0.6287,0.6245,0.078,0,0,0
203.01,1,1,20.05,2,1.5281,0.0,3,1,0.486,0.4485,0.0443,0,0,1
128.44,2,4,162.53,0,1.7626,0.0,3,0,0.3298,0.3689,0.1686,1,0,1
124.32,2,1,77.72,0,0.9855,0.0,3,1,0.2061,0.3621,0.0349,1,1,0
319.03,4,1,134.24,2,0.4534,6.7578,2,0,0.7561,0.2738,0.1519,3,0,0
235.83,3,5,198.43,3,0.5901,1.7056,9,0,0.2466,0.3845,0.1192,3,1,0
277.79,1,3,167.41,4,1.5937,12.6593,7,0,0.451,0.6984,0.0859,1,0,1
151.55,3,1,126.32,0,0.8939,0.0,2,0,0.4236,0.745,0.1053,1,1,0
243.27,1,0,76.82,3,1.7396,10.6489,3,0,0.4607,0.546,0.1416,0,0,1
336.56,2,0,58.7,0,1.6421,0.0,4,1,0.8789,0.4797,0.2113,2,0,0
439.21,0,2,14.84,1,0.4823,0.0,5,0,0.6671,0.1142,0.1228,1,1,0
144.23,3,2,68.1,0,2.26,9.4759,5,0,0.2543,0.3951,0.094,0,1,1
270.01,3,1,41.37,0,1.6019,1.9745,6,0,0.5441,0.1989,0.1875,1,1,1
201.12,1,1,48.38,3,0.8565,0.0,8,0,0.3378,0.2423,0.0432,0,0,1
342.56,1,1,52.99,0,1.4356,0.0,8,0,0.3262,0.3447,0.2147,2,0,1
17.87,0,4,103.68,0,1.3521,0.0,5,0,0.9398,0.5578,0.1867,0,0,1
111.44,2,0,50.0,0,1.3809,0.0,3,0,0.5427,0.4268,0.0162,0,1,0
131.65,2,2,75.33,2,2.4101,7.8047,4,0,0.65,0.2891,0.0683,1,0,1
156.29,1,1,53.93,2,0.7289,7.6977,4,0,0.6954,0.3621,0.0191,2,1,0
376.02,5,5,108.58,1,1.1653,0.0,5,1,0.5051,0.6992,0.1094,1,0,1
406.6,5,3,156.45,2,0.6612,0.0,6,0,0.8,0.4195,0.1038,3,1,1
164.16,0,2,107.69,0,0.9417,11.6871,5,0,0.3168,0.2117,0.0065,0,1,0
271.98,3,1,79.12,1,1.6564,0.0,5,0,0.195,0.3279,0.117,3,0,1
435.57,3,3,114.78,0,1.9364,6.8566,4,0,0.2306,0.6165,0.0951,2,0,1
283.05,4,2,36.63,1,1.5261,4.2067,3,0,0.4603,0.4015,0.058,1,0,1
115.09,2,3,83.25,2,0.802,6.908,8,0,0.6795,0.6283,0.0839,3,0,1
428.03,6,5,84.51,0,1.7068,0.0,2,0,0.7089,0.5459,0.079,4,0,1
120.85,1,1,7.33,0,0.5471,0.0,4,0,0.3128,0.4452,0.1545,0,1,1
379.9,5,4,58.8,3,0.998,0.0,5,1,0.6073,0.3459,0.2342,1,0,1
